CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
04065800;YEVRE à OSMOY;;663964.9;6663970;26;RGF93 / Lambert 93;18174;Osmoy;18;Cher;24;Centre-Val de Loire;GR0315B;;;;;;;;K5550230;K5--0230;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2010-01-21;Non renseigné;PONT D 46;M;Station de mesure Manuelle;0;949087;;;
04456007;L'AURON A PARNAY;;668291.1;6639482;26;RGF93 / Lambert 93;18177;Parnay;18;Cher;24;Centre-Val de Loire;GR0331A;;;;;;;;K5630300;K56-0300;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2016-05-11;Evaluation;MOULIN DE LA FORGE;M;Station de mesure Manuelle;0;960774.723;;;
03052094;LE MILLERON A CHATILLON-COLIGNY 1;;689661.77;6745874.76;26;RGF93 / Lambert 93;45085;Châtillon-Coligny;45;Loiret;24;Centre-Val de Loire;HR74A-F4107000;;;;;;;;F4107000;F4107000;;2;Station qualité située sur un cours d'eau;;2011-08-19;;2019-12-02;;non renseignÃ©;0;Nature de la station inconnue;0;;;;
03052105;LE RUISSEAU LE TALOT A STE GENEVIEVE DES BOIS;;686270.96;6747264.83;26;RGF93 / Lambert 93;45278;Sainte-Geneviève-des-Bois;45;Loiret;24;Centre-Val de Loire;HR74A-F4108000;;;;;;;;F4108000;F4108000;;2;Station qualité située sur un cours d'eau;;2012-11-14;;2019-12-02;;non renseignÃ©;0;Nature de la station inconnue;0;;;;
03052134;LE LOING A MONTBOUY 1;;686666;6751181;26;RGF93 / Lambert 93;45210;Montbouy;45;Loiret;24;Centre-Val de Loire;HR74A;;;;;;;;F4100200;F4--0200;;2;Station qualité située sur un cours d'eau;;2010-03-08;;2021-12-20;;PONT RD 93;0;Nature de la station inconnue;0;;;;
03052145;LE RU DE DORLOT A ST MAURICE SUR AVEYRON;;697913;6751070.41;26;RGF93 / Lambert 93;45292;Saint-Maurice-sur-Aveyron;45;Loiret;24;Centre-Val de Loire;HR75-F4113000;;;;;;;;F4113000;F4113000;;2;Station qualité située sur un cours d'eau;;2012-11-14;;2019-12-02;;non renseignÃ©;0;Nature de la station inconnue;0;;;;
03052215;L'AVEYRON A MONTBOUY 1;;687787;6752829;26;RGF93 / Lambert 93;45210;Montbouy;45;Loiret;24;Centre-Val de Loire;HR75;;;;;;;;F4110600;F4110600;;2;Station qualité située sur un cours d'eau;;2010-03-08;;2019-12-02;;LES CERFS,AMONT PONT ROUTE MONTBOUY-GY LES NONNAINS;0;Nature de la station inconnue;0;;;;
03052245;LE LOING A CONFLANS-SUR-LOING 1;;684036;6760831;26;RGF93 / Lambert 93;45102;Conflans-sur-Loing;45;Loiret;24;Centre-Val de Loire;HR74A;;;;;;;;F4120200;F4--0200;;2;Station qualité située sur un cours d'eau;;2001-07-11;;2019-12-02;;PONT D 293 A CONFLANS,AMONT CONFLUENCE OUANNE;0;Nature de la station inconnue;0;;;;
03052292;Le Vernisson à Boismorand;;679214.2;6741151.2;26;RGF93 / Lambert 93;45036;Boismorand;45;Loiret;24;Centre-Val de Loire;HR80-F4218000;;;;;;;;;;;2;Station qualité située sur un cours d'eau;;2016-11-15;;2019-12-02;;non renseignÃ©;0;Nature de la station inconnue;0;;;;
03052325;LE VERNISSON A MORMANT-SUR-VERNISSON 2;;680459.15;6761032.21;26;RGF93 / Lambert 93;45216;Mormant-sur-Vernisson;45;Loiret;24;Centre-Val de Loire;HR80-F4218000;;;;;;;;F4218000;F4218000;;2;Station qualité située sur un cours d'eau;;2011-08-19;;2019-12-02;;non renseignÃ©;0;Nature de la station inconnue;0;;;;
03052338;LE PUISEAUX A NOGENT-SUR-VERNISSON 1;;678555;6751035;26;RGF93 / Lambert 93;45229;Nogent-sur-Vernisson;45;Loiret;24;Centre-Val de Loire;HR80;;;;;;;;F4210600;F4210600;;2;Station qualité située sur un cours d'eau;;2001-07-11;;2019-12-02;;AMONT DEBOUCHE DU COLLECTEUR;0;Nature de la station inconnue;0;;;;
03052450;LA BÉZONDE A LADON 1;;663344;6766663;26;RGF93 / Lambert 93;45178;Ladon;45;Loiret;24;Centre-Val de Loire;HR82;;;;;;;;F4230400;F42-0400;;2;Station qualité située sur un cours d'eau;;2010-03-08;;2019-12-02;;PONT RN 60,AVAL BELLEGARDE;0;Nature de la station inconnue;0;;;;
03052465;LE RU DU PONTS AUX SENINS A VILLEMOUTIERS;;667912.6;6765177.61;26;RGF93 / Lambert 93;45339;Villemoutiers;45;Loiret;24;Centre-Val de Loire;HR82-F4235000;;;;;;;;F4235000;F4235000;;2;Station qualité située sur un cours d'eau;;2012-11-14;;2019-12-02;;non renseignÃ©;0;Nature de la station inconnue;0;;;;
03052656;L'HUILLARD A CHEVILLON-SUR-HUILLARD 1;;670644;6762553;26;RGF93 / Lambert 93;45092;Chevillon-sur-Huillard;45;Loiret;24;Centre-Val de Loire;HR82-F4240600;;;;;;;;F4240600;F4240600;;2;Station qualité située sur un cours d'eau;;2006-06-12;;2019-12-02;;Pont route entre Presnoy et Marsan;0;Nature de la station inconnue;0;;;;
03052760;LE LIMETIN A CHEVILLON-SUR-HUILLARD 1;;674499;6764235;26;RGF93 / Lambert 93;45092;Chevillon-sur-Huillard;45;Loiret;24;Centre-Val de Loire;HR82-F4259000;;;;;;;;F4259000;F4259000;;2;Station qualité située sur un cours d'eau;;2010-03-08;;2019-12-02;;PONT D 963;0;Nature de la station inconnue;0;;;;
03052785;LA BÉZONDE A PANNES 1;;675795;6766983;26;RGF93 / Lambert 93;45247;Pannes;45;Loiret;24;Centre-Val de Loire;HR82;;;;;;;;F4260400;F42-0400;;2;Station qualité située sur un cours d'eau;;2010-03-08;;2019-12-02;;PONT ROUTE DE VILLEMANDEUR A PANNES;0;Nature de la station inconnue;0;;;;
03052823;LA MENOTTE A MONTEREAU 1;;668836.81;6751751.19;26;RGF93 / Lambert 93;45213;Montereau;45;Loiret;24;Centre-Val de Loire;HR81B-F4228400;;;;;;;;F4228400;F4228400;;2;Station qualité située sur un cours d'eau;;2011-08-12;;2019-12-02;;non renseignÃ©;0;Nature de la station inconnue;0;;;;
